period,source_id,source_label,destination_id,destination_label,estimate,moe
2007-2009,ALABAMA,"Alabama",ALABAMA,"Alabama",588928,11006
2007-2009,ALABAMA,"Alabama",ALASKA,"Alaska",1491,597
2007-2009,ALABAMA,"Alabama",ARIZONA,"Arizona",1086,411
2007-2009,ALABAMA,"Alabama",ARKANSAS,"Arkansas",649,325
2007-2009,ALABAMA,"Alabama",CALIFORNIA,"California",4755,994
2007-2009,ALABAMA,"Alabama",COLORADO,"Colorado",1056,426
2007-2009,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",318,192
2007-2009,ALABAMA,"Alabama",DELAWARE,"Delaware",467,535
2007-2009,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",46,56
2007-2009,ALABAMA,"Alabama",FLORIDA,"Florida",18554,1728
2007-2009,ALABAMA,"Alabama",GEORGIA,"Georgia",23442,2382
2007-2009,ALABAMA,"Alabama",HAWAII,"Hawaii",1041,709
2007-2009,ALABAMA,"Alabama",IDAHO,"Idaho",399,234
2007-2009,ALABAMA,"Alabama",ILLINOIS,"Illinois",2826,676
2007-2009,ALABAMA,"Alabama",INDIANA,"Indiana",3269,877
2007-2009,ALABAMA,"Alabama",IOWA,"Iowa",315,230
2007-2009,ALABAMA,"Alabama",KANSAS,"Kansas",442,216
2007-2009,ALABAMA,"Alabama",KENTUCKY,"Kentucky",2067,656
2007-2009,ALABAMA,"Alabama",LOUISIANA,"Louisiana",4161,1088
2007-2009,ALABAMA,"Alabama",MAINE,"Maine",268,200
2007-2009,ALABAMA,"Alabama",MARYLAND,"Maryland",2044,832
2007-2009,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",327,159
2007-2009,ALABAMA,"Alabama",MICHIGAN,"Michigan",4688,1147
2007-2009,ALABAMA,"Alabama",MINNESOTA,"Minnesota",657,237
2007-2009,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",8767,1633
2007-2009,ALABAMA,"Alabama",MISSOURI,"Missouri",1387,402
2007-2009,ALABAMA,"Alabama",MONTANA,"Montana",226,142
2007-2009,ALABAMA,"Alabama",NEBRASKA,"Nebraska",411,297
2007-2009,ALABAMA,"Alabama",NEVADA,"Nevada",508,335
2007-2009,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",90,94
2007-2009,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1630,747
2007-2009,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",542,217
2007-2009,ALABAMA,"Alabama",NEW_YORK,"New York",3517,793
2007-2009,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",5090,1175
2007-2009,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",12,19
2007-2009,ALABAMA,"Alabama",OHIO,"Ohio",2925,995
2007-2009,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",1083,526
2007-2009,ALABAMA,"Alabama",OREGON,"Oregon",142,99
2007-2009,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1537,471
2007-2009,ALABAMA,"Alabama",PUERTO_RICO,"Puerto Rico",607,376
2007-2009,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",211,200
2007-2009,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",2005,516
2007-2009,ALABAMA,"Alabama",SOUTH_DAKOTA,"South Dakota",25,41
2007-2009,ALABAMA,"Alabama",TENNESSEE,"Tennessee",8523,1175
2007-2009,ALABAMA,"Alabama",TEXAS,"Texas",8325,1488
2007-2009,ALABAMA,"Alabama",UTAH,"Utah",508,389
2007-2009,ALABAMA,"Alabama",VERMONT,"Vermont",13,15
2007-2009,ALABAMA,"Alabama",VIRGINIA,"Virginia",4418,1159
2007-2009,ALABAMA,"Alabama",WASHINGTON,"Washington",1224,527
2007-2009,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",218,126
2007-2009,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",856,424
2007-2009,ALABAMA,"Alabama",WYOMING,"Wyoming",258,148
2007-2009,ALASKA,"Alaska",ALABAMA,"Alabama",1290,853
2007-2009,ALASKA,"Alaska",ALASKA,"Alaska",105708,4503
2007-2009,ALASKA,"Alaska",ARIZONA,"Arizona",1858,768
2007-2009,ALASKA,"Alaska",ARKANSAS,"Arkansas",277,198
2007-2009,ALASKA,"Alaska",CALIFORNIA,"California",4220,748
2007-2009,ALASKA,"Alaska",COLORADO,"Colorado",1533,610
2007-2009,ALASKA,"Alaska",CONNECTICUT,"Connecticut",113,121
2007-2009,ALASKA,"Alaska",DELAWARE,"Delaware",102,101
2007-2009,ALASKA,"Alaska",DISTRICT_OF_COLUMBIA,"District of Columbia",63,61
2007-2009,ALASKA,"Alaska",FLORIDA,"Florida",1658,606
