period,source_id,source_label,destination_id,destination_label,estimate,moe
2005-2007,ALABAMA,"Alabama",ALABAMA,"Alabama",604453,12258
2005-2007,ALABAMA,"Alabama",ALASKA,"Alaska",813,431
2005-2007,ALABAMA,"Alabama",ARIZONA,"Arizona",993,424
2005-2007,ALABAMA,"Alabama",ARKANSAS,"Arkansas",2260,704
2005-2007,ALABAMA,"Alabama",CALIFORNIA,"California",4664,1051
2005-2007,ALABAMA,"Alabama",COLORADO,"Colorado",1413,641
2005-2007,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",342,215
2005-2007,ALABAMA,"Alabama",DELAWARE,"Delaware",315,318
2005-2007,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",133,96
2005-2007,ALABAMA,"Alabama",FLORIDA,"Florida",17935,1808
2005-2007,ALABAMA,"Alabama",GEORGIA,"Georgia",22893,1920
2005-2007,ALABAMA,"Alabama",HAWAII,"Hawaii",746,517
2005-2007,ALABAMA,"Alabama",IDAHO,"Idaho",105,103
2005-2007,ALABAMA,"Alabama",ILLINOIS,"Illinois",3721,836
2005-2007,ALABAMA,"Alabama",INDIANA,"Indiana",2814,838
2005-2007,ALABAMA,"Alabama",IOWA,"Iowa",485,282
2005-2007,ALABAMA,"Alabama",KANSAS,"Kansas",361,219
2005-2007,ALABAMA,"Alabama",KENTUCKY,"Kentucky",2350,598
2005-2007,ALABAMA,"Alabama",LOUISIANA,"Louisiana",6577,1405
2005-2007,ALABAMA,"Alabama",MAINE,"Maine",132,125
2005-2007,ALABAMA,"Alabama",MARYLAND,"Maryland",1592,616
2005-2007,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",542,363
2005-2007,ALABAMA,"Alabama",MICHIGAN,"Michigan",4305,1090
2005-2007,ALABAMA,"Alabama",MINNESOTA,"Minnesota",453,271
2005-2007,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",11124,1517
2005-2007,ALABAMA,"Alabama",MISSOURI,"Missouri",1854,622
2005-2007,ALABAMA,"Alabama",MONTANA,"Montana",27,40
2005-2007,ALABAMA,"Alabama",NEBRASKA,"Nebraska",351,216
2005-2007,ALABAMA,"Alabama",NEVADA,"Nevada",470,273
2005-2007,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",220,233
2005-2007,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1744,704
2005-2007,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",475,245
2005-2007,ALABAMA,"Alabama",NEW_YORK,"New York",4074,1025
2005-2007,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",3695,1002
2005-2007,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",146,156
2005-2007,ALABAMA,"Alabama",OHIO,"Ohio",3521,1078
2005-2007,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",1622,628
2005-2007,ALABAMA,"Alabama",OREGON,"Oregon",171,158
2005-2007,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1413,671
2005-2007,ALABAMA,"Alabama",PUERTO_RICO,"Puerto Rico",280,211
2005-2007,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",54,63
2005-2007,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",2003,488
2005-2007,ALABAMA,"Alabama",SOUTH_DAKOTA,"South Dakota",21,34
2005-2007,ALABAMA,"Alabama",TENNESSEE,"Tennessee",9317,1402
2005-2007,ALABAMA,"Alabama",TEXAS,"Texas",8424,1210
2005-2007,ALABAMA,"Alabama",UTAH,"Utah",557,474
2005-2007,ALABAMA,"Alabama",VERMONT,"Vermont",209,249
2005-2007,ALABAMA,"Alabama",VIRGINIA,"Virginia",3300,649
2005-2007,ALABAMA,"Alabama",WASHINGTON,"Washington",1341,629
2005-2007,ALABAMA,"Alabama",WEST_VIRGINIA,"West Virginia",352,202
2005-2007,ALABAMA,"Alabama",WISCONSIN,"Wisconsin",873,435
2005-2007,ALABAMA,"Alabama",WYOMING,"Wyoming",408,294
2005-2007,ALASKA,"Alaska",ALABAMA,"Alabama",800,455
2005-2007,ALASKA,"Alaska",ALASKA,"Alaska",99147,3894
2005-2007,ALASKA,"Alaska",ARIZONA,"Arizona",1367,479
2005-2007,ALASKA,"Alaska",ARKANSAS,"Arkansas",313,284
2005-2007,ALASKA,"Alaska",CALIFORNIA,"California",4019,791
2005-2007,ALASKA,"Alaska",COLORADO,"Colorado",1353,475
2005-2007,ALASKA,"Alaska",CONNECTICUT,"Connecticut",225,205
2005-2007,ALASKA,"Alaska",FLORIDA,"Florida",1050,320
2005-2007,ALASKA,"Alaska",GEORGIA,"Georgia",1414,582
2005-2007,ALASKA,"Alaska",HAWAII,"Hawaii",812,354
2005-2007,ALASKA,"Alaska",IDAHO,"Idaho",504,216
2005-2007,ALASKA,"Alaska",ILLINOIS,"Illinois",579,266
2005-2007,ALASKA,"Alaska",INDIANA,"Indiana",363,317
2005-2007,ALASKA,"Alaska",IOWA,"Iowa",163,133
2005-2007,ALASKA,"Alaska",KANSAS,"Kansas",563,386
2005-2007,ALASKA,"Alaska",KENTUCKY,"Kentucky",183,154
2005-2007,ALASKA,"Alaska",LOUISIANA,"Louisiana",244,189
2005-2007,ALASKA,"Alaska",MAINE,"Maine",183,147
2005-2007,ALASKA,"Alaska",MARYLAND,"Maryland",460,289
2005-2007,ALASKA,"Alaska",MASSACHUSETTS,"Massachusetts",462,259
2005-2007,ALASKA,"Alaska",MICHIGAN,"Michigan",687,393
2005-2007,ALASKA,"Alaska",MINNESOTA,"Minnesota",727,371
2005-2007,ALASKA,"Alaska",MISSISSIPPI,"Mississippi",612,384
2005-2007,ALASKA,"Alaska",MISSOURI,"Missouri",560,388
2005-2007,ALASKA,"Alaska",MONTANA,"Montana",649,370
