period,source_id,source_label,destination_id,destination_label,estimate,moe
2006-2008,ALABAMA,"Alabama",ALABAMA,"Alabama",586474,11299
2006-2008,ALABAMA,"Alabama",ALASKA,"Alaska",1604,624
2006-2008,ALABAMA,"Alabama",ARIZONA,"Arizona",1008,364
2006-2008,ALABAMA,"Alabama",ARKANSAS,"Arkansas",1280,481
2006-2008,ALABAMA,"Alabama",CALIFORNIA,"California",5422,1080
2006-2008,ALABAMA,"Alabama",COLORADO,"Colorado",1075,416
2006-2008,ALABAMA,"Alabama",CONNECTICUT,"Connecticut",348,218
2006-2008,ALABAMA,"Alabama",DELAWARE,"Delaware",834,693
2006-2008,ALABAMA,"Alabama",DISTRICT_OF_COLUMBIA,"District of Columbia",79,57
2006-2008,ALABAMA,"Alabama",FLORIDA,"Florida",19316,1930
2006-2008,ALABAMA,"Alabama",GEORGIA,"Georgia",23977,2415
2006-2008,ALABAMA,"Alabama",HAWAII,"Hawaii",829,651
2006-2008,ALABAMA,"Alabama",IDAHO,"Idaho",62,54
2006-2008,ALABAMA,"Alabama",ILLINOIS,"Illinois",3325,738
2006-2008,ALABAMA,"Alabama",INDIANA,"Indiana",3154,846
2006-2008,ALABAMA,"Alabama",IOWA,"Iowa",399,232
2006-2008,ALABAMA,"Alabama",KANSAS,"Kansas",447,264
2006-2008,ALABAMA,"Alabama",KENTUCKY,"Kentucky",2464,676
2006-2008,ALABAMA,"Alabama",LOUISIANA,"Louisiana",6115,1216
2006-2008,ALABAMA,"Alabama",MAINE,"Maine",145,131
2006-2008,ALABAMA,"Alabama",MARYLAND,"Maryland",1354,434
2006-2008,ALABAMA,"Alabama",MASSACHUSETTS,"Massachusetts",497,284
2006-2008,ALABAMA,"Alabama",MICHIGAN,"Michigan",4587,954
2006-2008,ALABAMA,"Alabama",MINNESOTA,"Minnesota",607,265
2006-2008,ALABAMA,"Alabama",MISSISSIPPI,"Mississippi",10009,1172
2006-2008,ALABAMA,"Alabama",MISSOURI,"Missouri",1765,558
2006-2008,ALABAMA,"Alabama",MONTANA,"Montana",105,90
2006-2008,ALABAMA,"Alabama",NEBRASKA,"Nebraska",377,218
2006-2008,ALABAMA,"Alabama",NEVADA,"Nevada",368,327
2006-2008,ALABAMA,"Alabama",NEW_HAMPSHIRE,"New Hampshire",97,92
2006-2008,ALABAMA,"Alabama",NEW_JERSEY,"New Jersey",1841,704
2006-2008,ALABAMA,"Alabama",NEW_MEXICO,"New Mexico",497,270
2006-2008,ALABAMA,"Alabama",NEW_YORK,"New York",4121,884
2006-2008,ALABAMA,"Alabama",NORTH_CAROLINA,"North Carolina",4119,1021
2006-2008,ALABAMA,"Alabama",NORTH_DAKOTA,"North Dakota",131,166
2006-2008,ALABAMA,"Alabama",OHIO,"Ohio",3363,935
2006-2008,ALABAMA,"Alabama",OKLAHOMA,"Oklahoma",1299,617
2006-2008,ALABAMA,"Alabama",OREGON,"Oregon",125,104
2006-2008,ALABAMA,"Alabama",PENNSYLVANIA,"Pennsylvania",1644,608
2006-2008,ALABAMA,"Alabama",PUERTO_RICO,"Puerto Rico",475,326
2006-2008,ALABAMA,"Alabama",RHODE_ISLAND,"Rhode Island",57,69
2006-2008,ALABAMA,"Alabama",SOUTH_CAROLINA,"South Carolina",1829,490
2006-2008,ALABAMA,"Alabama",SOUTH_DAKOTA,"South Dakota",22,36
